Team,Att,Cmp,CmpPct,Yds/Att,Yds,TD,INT,1st,1stPct,Sck,Rush,YPC,RushPct,RushPct2,FR,SFTY,3rd,3rdPct,4th,4thPct,Scrm,FF,FRPct,INTPct,INTPct2,Lng
Cowboys,,,,,,,,,,,,,,,0.0,,,,,,,17.0,0.0,,,
Jaguars,,,,,,,,,,,,,,,0.0,,,,,,,17.0,0.0,,,
Chiefs,,,,,,,,,,,,,,,0.0,,,,,,,17.0,0.0,,,
Rams,,,,,,,,,,,,,,,0.0,,,,,,,16.0,0.0,,,
Chargers,,,,,,,,,,,,,,,0.0,,,,,,,16.0,0.0,,,
Panthers,,,,,,,,,,,,,,,0.0,,,,,,,15.0,0.0,,,
Broncos,,,,,,,,,,,,,,,0.0,,,,,,,15.0,0.0,,,
Vikings,,,,,,,,,,,,,,,0.0,,,,,,,15.0,0.0,,,
Giants,,,,,,,,,,,,,,,0.0,,,,,,,15.0,0.0,,,
Buccaneers,,,,,,,,,,,,,,,0.0,,,,,,,15.0,0.0,,,
Falcons,,,,,,,,,,,,,,,0.0,,,,,,,14.0,0.0,,,
Bengals,,,,,,,,,,,,,,,0.0,,,,,,,14.0,0.0,,,
Titans,,,,,,,,,,,,,,,0.0,,,,,,,14.0,0.0,,,
Patriots,,,,,,,,,,,,,,,0.0,,,,,,,12.0,0.0,,,
Colts,,,,,,,,,,,,,,,0.0,,,,,,,11.0,0.0,,,
Raiders,,,,,,,,,,,,,,,0.0,,,,,,,11.0,0.0,,,
Cardinals,,,,,,,,,,,,,,,0.0,,,,,,,11.0,0.0,,,
Lions,,,,,,,,,,,,,,,0.0,,,,,,,6.0,0.0,,,
Browns,,,,,,,33.0,,,,,,,,,,,,,,,,,4.0,499.0,97
Buccaneers,,,,,,,28.0,,,,,,,,,,,,,,,,,2.0,419.0,98
Panthers,,,,,,,24.0,,,,,,,,,,,,,,,,,1.0,374.0,49
49ers,,,,,,,24.0,,,,,,,,,,,,,,,,,2.0,330.0,97T
Redskins,,,,,,,23.0,,,,,,,,,,,,,,,,,1.0,209.0,67T
Broncos,,,,,,,22.0,,,,,,,,,,,,,,,,,1.0,240.0,42T
Patriots,,,,,,,22.0,,,,,,,,,,,,,,,,,5.0,422.0,78
Rams,,,,,,,21.0,,,,,,,,,,,,,,,,,4.0,369.0,93
Bears,,,,,,,20.0,,,,,,,,,,,,,,,,,3.0,372.0,67
Packers,,,,,,,20.0,,,,,,,,,,,,,,,,,2.0,344.0,69
Jets,,,,,,,20.0,,,,,,,,,,,,,,,,,2.0,390.0,63
Chargers,,,,,,,19.0,,,,,,,,,,,,,,,,,1.0,162.0,37T
Falcons,,,,,,,18.0,,,,,,,,,,,,,,,,,0.0,154.0,33
Raiders,,,,,,,17.0,,,,,,,,,,,,,,,,,2.0,306.0,39T
Dolphins,,,,,,,17.0,,,,,,,,,,,,,,,,,5.0,412.0,100
Cardinals,,,,,,,17.0,,,,,,,,,,,,,,,,,3.0,294.0,61
Ravens,,,,,,,16.0,,,,,,,,,,,,,,,,,1.0,195.0,64T
Lions,,,,,,,16.0,,,,,,,,,,,,,,,,,3.0,217.0,74
Steelers,,,,,,,16.0,,,,,,,,,,,,,,,,,2.0,270.0,62
Colts,,,,,,,15.0,,,,,,,,,,,,,,,,,1.0,158.0,30T
Saints,,,,,,,15.0,,,,,,,,,,,,,,,,,0.0,209.0,40
Giants,,,,,,,15.0,,,,,,,,,,,,,,,,,1.0,129.0,34T
Eagles,,,,,,,14.0,,,,,,,,,,,,,,,,,2.0,152.0,50
Seahawks,,,,,,,14.0,,,,,,,,,,,,,,,,,2.0,186.0,55
Bengals,,,,,,,13.0,,,,,,,,,,,,,,,,,1.0,192.0,66T
Titans,,,,,,,13.0,,,,,,,,,,,,,,,,,0.0,78.0,36
Chiefs,,,,,,,13.0,,,,,,,,,,,,,,,,,1.0,166.0,51T
Jaguars,,,,,,,12.0,,,,,,,,,,,,,,,,,0.0,83.0,39
Bills,,,,,,,11.0,,,,,,,,,,,,,,,,,3.0,139.0,48
Cowboys,,,,,,,9.0,,,,,,,,,,,,,,,,,3.0,191.0,71
Vikings,,,,,,,8.0,,,,,,,,,,,,,,,,,1.0,47.0,27T
Rams,461.0,292.0,63.3,7.0,3209.0,15.0,12.0,148.0,32.1,38.0,,,,,,,,,,,,,,,,
Raiders,570.0,346.0,60.7,6.2,3526.0,21.0,21.0,189.0,33.2,43.0,,,,,,,,,,,,,,,,
Bills,495.0,281.0,56.8,6.2,3067.0,24.0,10.0,160.0,32.3,31.0,,,,,,,,,,,,,,,,
Patriots,531.0,314.0,59.1,6.0,3179.0,23.0,18.0,158.0,29.8,34.0,,,,,,,,,,,,,,,,
Bengals,454.0,287.0,63.2,7.2,3262.0,30.0,9.0,182.0,40.1,24.0,,,,,,,,,,,,,,,,
Colts,468.0,288.0,61.5,6.2,2917.0,19.0,10.0,148.0,31.6,36.0,,,,,,,,,,,,,,,,
Seahawks,555.0,321.0,57.8,6.2,3411.0,21.0,19.0,191.0,34.4,28.0,,,,,,,,,,,,,,,,
Packers,531.0,287.0,54.0,5.6,2987.0,24.0,24.0,143.0,26.9,43.0,,,,,,,,,,,,,,,,
Lions,591.0,371.0,62.8,7.0,4150.0,27.0,10.0,221.0,37.4,33.0,,,,,,,,,,,,,,,,
49ers,552.0,340.0,61.6,6.4,3506.0,23.0,19.0,188.0,34.1,32.0,,,,,,,,,,,,,,,,
Buccaneers,510.0,259.0,50.8,4.9,2490.0,10.0,31.0,131.0,25.7,43.0,,,,,,,,,,,,,,,,
Redskins,531.0,304.0,57.2,5.7,3033.0,19.0,14.0,155.0,29.2,40.0,,,,,,,,,,,,,,,,
Vikings,542.0,335.0,61.8,7.6,4103.0,33.0,16.0,198.0,36.5,27.0,,,,,,,,,,,,,,,,
