Team,Att,Cmp,CmpPct,Yds/Att,Yds,TD,INT,1st,1stPct,Sck,Rush,YPC,RushPct,RushPct2,FR,SFTY,3rd,3rdPct,4th,4thPct,Scrm,FF,FRPct,INTPct,INTPct2
Browns,594.0,333.0,61.5,6.5,3583.0,26.0,11.0,185.0,34.0,37.0,2505.0,4.2,147.0,24.8,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Falcons,493.0,333.0,61.5,6.5,3583.0,18.0,1.0,185.0,34.0,37.0,560.5,4.2,41.7,22.6,0.0,1.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Ravens,493.0,333.0,61.5,6.5,3583.0,18.0,1.0,185.0,34.0,37.0,560.5,4.2,41.7,22.6,0.0,1.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Bills,493.0,333.0,61.5,6.5,3583.0,18.0,1.0,185.0,34.0,37.0,560.5,4.2,41.7,22.6,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Panthers,493.0,333.0,61.5,6.5,3583.0,18.0,2.0,185.0,34.0,37.0,560.5,4.2,41.7,22.6,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Bears,493.0,333.0,61.5,6.5,3583.0,18.0,4.0,185.0,34.0,37.0,560.5,4.2,41.7,22.6,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Bengals,493.0,333.0,61.5,6.5,3583.0,18.0,1.0,185.0,34.0,37.0,560.5,4.2,41.7,22.6,0.0,1.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Browns,493.0,333.0,61.5,6.5,3583.0,18.0,1.0,185.0,34.0,37.0,560.5,4.2,41.7,22.6,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Cowboys,493.0,333.0,61.5,6.5,3583.0,18.0,0.0,185.0,34.0,37.0,560.5,4.2,41.7,22.6,0.0,1.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Broncos,493.0,333.0,61.5,6.5,3583.0,18.0,5.0,185.0,34.0,37.0,560.5,4.2,41.7,22.6,0.0,1.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Lions,493.0,333.0,61.5,6.5,3583.0,18.0,2.0,185.0,34.0,37.0,560.5,4.2,41.7,22.6,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Packers,493.0,333.0,61.5,6.5,3583.0,18.0,1.0,185.0,34.0,37.0,560.5,4.2,41.7,22.6,0.0,1.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Titans,493.0,333.0,61.5,6.5,3583.0,18.0,4.0,185.0,34.0,37.0,560.5,4.2,41.7,22.6,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Colts,493.0,333.0,61.5,6.5,3583.0,18.0,2.0,185.0,34.0,37.0,560.5,4.2,41.7,22.6,0.0,2.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Jaguars,493.0,333.0,61.5,6.5,3583.0,18.0,0.0,185.0,34.0,37.0,560.5,4.2,41.7,22.6,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Chiefs,493.0,333.0,61.5,6.5,3583.0,18.0,2.0,185.0,34.0,37.0,560.5,4.2,41.7,22.6,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Rams,493.0,333.0,61.5,6.5,3583.0,18.0,0.0,185.0,34.0,37.0,560.5,4.2,41.7,22.6,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Raiders,493.0,333.0,61.5,6.5,3583.0,18.0,4.0,185.0,34.0,37.0,560.5,4.2,41.7,22.6,0.0,2.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Dolphins,493.0,333.0,61.5,6.5,3583.0,18.0,0.0,185.0,34.0,37.0,560.5,4.2,41.7,22.6,0.0,1.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Vikings,493.0,333.0,61.5,6.5,3583.0,18.0,0.0,185.0,34.0,37.0,560.5,4.2,41.7,22.6,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Patriots,493.0,333.0,61.5,6.5,3583.0,18.0,0.0,185.0,34.0,37.0,560.5,4.2,41.7,22.6,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Saints,493.0,333.0,61.5,6.5,3583.0,18.0,4.0,185.0,34.0,37.0,560.5,4.2,41.7,22.6,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Giants,493.0,333.0,61.5,6.5,3583.0,18.0,0.0,185.0,34.0,37.0,560.5,4.2,41.7,22.6,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Jets,493.0,333.0,61.5,6.5,3583.0,18.0,1.0,185.0,34.0,37.0,560.5,4.2,41.7,22.6,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Eagles,493.0,333.0,61.5,6.5,3583.0,18.0,2.0,185.0,34.0,37.0,560.5,4.2,41.7,22.6,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Cardinals,493.0,333.0,61.5,6.5,3583.0,18.0,0.0,185.0,34.0,37.0,560.5,4.2,41.7,22.6,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Steelers,493.0,333.0,61.5,6.5,3583.0,18.0,0.0,185.0,34.0,37.0,560.5,4.2,41.7,22.6,0.0,1.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Chargers,493.0,333.0,61.5,6.5,3583.0,18.0,4.0,185.0,34.0,37.0,560.5,4.2,41.7,22.6,0.0,1.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
49ers,493.0,333.0,61.5,6.5,3583.0,18.0,2.0,185.0,34.0,37.0,560.5,4.2,41.7,22.6,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Seahawks,493.0,333.0,61.5,6.5,3583.0,18.0,3.0,185.0,34.0,37.0,560.5,4.2,41.7,22.6,0.0,1.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Buccaneers,493.0,333.0,61.5,6.5,3583.0,18.0,4.0,185.0,34.0,37.0,560.5,4.2,41.7,22.6,0.0,1.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Redskins,493.0,333.0,61.5,6.5,3583.0,18.0,0.0,185.0,34.0,37.0,560.5,4.2,41.7,22.6,0.0,1.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Bills,493.0,333.0,61.5,6.5,3583.0,18.0,11.0,185.0,34.0,37.0,76.0,4.2,17.1,22.6,0.0,0.0,219.0,81.0,11.0,7.0,966.0,15.0,0.0,1.0,196.0
Ravens,493.0,333.0,61.5,6.5,3583.0,18.0,11.0,185.0,34.0,37.0,59.0,4.2,16.3,22.6,0.0,0.0,211.0,72.0,19.0,4.0,924.0,15.0,0.0,1.0,196.0
Jaguars,493.0,333.0,61.5,6.5,3583.0,18.0,11.0,185.0,34.0,37.0,85.0,4.2,19.5,22.6,0.0,0.0,203.0,74.0,8.0,4.0,934.0,15.0,0.0,1.0,196.0
Patriots,493.0,333.0,61.5,6.5,3583.0,18.0,11.0,185.0,34.0,37.0,108.0,4.2,21.8,22.6,0.0,0.0,237.0,103.0,10.0,9.0,1068.0,15.0,0.0,1.0,196.0
Jets,493.0,333.0,61.5,6.5,3583.0,18.0,11.0,185.0,34.0,37.0,98.0,4.2,20.6,22.6,0.0,0.0,238.0,93.0,16.0,7.0,1033.0,15.0,0.0,1.0,196.0
Giants,493.0,333.0,61.5,6.5,3583.0,18.0,11.0,185.0,34.0,37.0,62.0,4.2,17.3,22.6,0.0,0.0,219.0,78.0,18.0,2.0,988.0,15.0,0.0,1.0,196.0
Steelers,493.0,333.0,61.5,6.5,3583.0,18.0,11.0,185.0,34.0,37.0,82.0,4.2,19.3,22.6,0.0,0.0,222.0,78.0,17.0,8.0,985.0,15.0,0.0,1.0,196.0
Titans,493.0,333.0,61.5,6.5,3583.0,18.0,11.0,185.0,34.0,37.0,62.0,4.2,16.0,22.6,0.0,0.0,221.0,68.0,12.0,1.0,908.0,15.0,0.0,1.0,196.0
Bengals,493.0,333.0,61.5,6.5,3583.0,18.0,11.0,185.0,34.0,37.0,101.0,4.2,20.0,22.6,0.0,0.0,239.0,102.0,13.0,4.0,1068.0,15.0,0.0,1.0,196.0
Saints,493.0,333.0,61.5,6.5,3583.0,18.0,11.0,185.0,34.0,37.0,95.0,4.2,24.0,22.6,0.0,0.0,204.0,80.0,14.0,4.0,949.0,15.0,0.0,1.0,196.0
Lions,493.0,333.0,61.5,6.5,3583.0,18.0,11.0,185.0,34.0,37.0,96.0,4.2,22.8,22.6,0.0,0.0,215.0,80.0,16.0,9.0,993.0,15.0,0.0,1.0,196.0
Eagles,493.0,333.0,61.5,6.5,3583.0,18.0,11.0,185.0,34.0,37.0,105.0,4.2,23.2,22.6,0.0,0.0,221.0,72.0,24.0,14.0,1055.0,15.0,0.0,1.0,196.0
Bears,493.0,333.0,61.5,6.5,3583.0,18.0,11.0,185.0,34.0,37.0,106.0,4.2,22.6,22.6,0.0,0.0,223.0,82.0,17.0,12.0,1035.0,15.0,0.0,1.0,196.0
Chargers,493.0,333.0,61.5,6.5,3583.0,18.0,11.0,185.0,34.0,37.0,76.0,4.2,16.2,22.6,0.0,0.0,242.0,91.0,9.0,5.0,1061.0,15.0,0.0,1.0,196.0
Broncos,493.0,333.0,61.5,6.5,3583.0,18.0,11.0,185.0,34.0,37.0,80.0,4.2,23.3,22.6,0.0,0.0,191.0,66.0,18.0,6.0,962.0,15.0,0.0,1.0,196.0
Packers,493.0,333.0,61.5,6.5,3583.0,18.0,11.0,185.0,34.0,37.0,84.0,4.2,20.1,22.6,0.0,0.0,224.0,82.0,11.0,7.0,1012.0,15.0,0.0,1.0,196.0
Dolphins,493.0,333.0,61.5,6.5,3583.0,18.0,11.0,185.0,34.0,37.0,92.0,4.2,22.1,22.6,0.0,0.0,211.0,70.0,15.0,8.0,995.0,15.0,0.0,1.0,196.0
Redskins,493.0,333.0,61.5,6.5,3583.0,18.0,11.0,185.0,34.0,37.0,97.0,4.2,22.6,22.6,0.0,0.0,205.0,72.0,10.0,4.0,937.0,15.0,0.0,1.0,196.0
Browns,493.0,333.0,61.5,6.5,3583.0,18.0,11.0,185.0,34.0,37.0,147.0,4.2,24.8,22.6,0.0,0.0,227.0,98.0,17.0,11.0,1122.0,15.0,0.0,1.0,196.0
Raiders,493.0,333.0,61.5,6.5,3583.0,18.0,11.0,185.0,34.0,37.0,85.0,4.2,22.2,22.6,0.0,0.0,205.0,81.0,14.0,4.0,1014.0,15.0,0.0,1.0,196.0
Seahawks,493.0,333.0,61.5,6.5,3583.0,18.0,11.0,185.0,34.0,37.0,126.0,4.2,25.0,22.6,0.0,0.0,201.0,89.0,7.0,1.0,1019.0,15.0,0.0,1.0,196.0
Chiefs,493.0,333.0,61.5,6.5,3583.0,18.0,11.0,185.0,34.0,37.0,103.0,4.2,23.4,22.6,0.0,0.0,207.0,84.0,11.0,8.0,1041.0,15.0,0.0,1.0,196.0
49ers,493.0,333.0,61.5,6.5,3583.0,18.0,11.0,185.0,34.0,37.0,110.0,4.2,25.3,22.6,0.0,0.0,204.0,80.0,18.0,12.0,1031.0,15.0,0.0,1.0,196.0
Colts,493.0,333.0,61.5,6.5,3583.0,18.0,11.0,185.0,34.0,37.0,109.0,4.2,24.4,22.6,0.0,0.0,217.0,84.0,14.0,10.0,1018.0,15.0,0.0,1.0,196.0
Cardinals,493.0,333.0,61.5,6.5,3583.0,18.0,11.0,185.0,34.0,37.0,149.0,4.2,25.8,22.6,0.0,0.0,222.0,105.0,15.0,10.0,1062.0,15.0,0.0,1.0,196.0
Panthers,493.0,333.0,61.5,6.5,3583.0,18.0,11.0,185.0,34.0,37.0,107.0,4.2,25.1,22.6,0.0,0.0,208.0,90.0,19.0,6.0,1005.0,15.0,0.0,1.0,196.0
Buccaneers,493.0,333.0,61.5,6.5,3583.0,18.0,11.0,185.0,34.0,37.0,84.0,4.2,21.1,22.6,0.0,0.0,225.0,74.0,20.0,12.0,1047.0,15.0,0.0,1.0,196.0
Falcons,493.0,333.0,61.5,6.5,3583.0,18.0,11.0,185.0,34.0,37.0,113.0,4.2,24.9,22.6,0.0,0.0,198.0,71.0,18.0,11.0,999.0,15.0,0.0,1.0,196.0
Cowboys,493.0,333.0,61.5,6.5,3583.0,18.0,11.0,185.0,34.0,37.0,137.0,4.2,25.5,22.6,0.0,0.0,208.0,84.0,18.0,8.0,1021.0,15.0,0.0,1.0,196.0
Vikings,493.0,333.0,61.5,6.5,3583.0,18.0,11.0,185.0,34.0,37.0,110.0,4.2,27.8,22.6,0.0,0.0,202.0,92.0,14.0,4.0,1011.0,15.0,0.0,1.0,196.0
Rams,493.0,333.0,61.5,6.5,3583.0,18.0,11.0,185.0,34.0,37.0,95.0,4.2,24.8,22.6,0.0,0.0,192.0,74.0,12.0,6.0,968.0,15.0,0.0,1.0,196.0
