Team,Att,Cmp,CmpPct,Yds/Att,Pass,TD,INT,Rate,1st,1stPct,20+,40+,Sck,SckY,Rush,YPC,RushPct,RushPct2,RushPct3,Rec,Yds,Yds/Rec,RecPct1,RecPct2,RecPct3,Rsh,Tot,2-PT,3rd,3rdPct,4th,4thPct,Scrm
Jaguars,481.0,334.0,61.45,7.0,3792.5,18.0,15.0,84.75,184.0,33.9,13.0,2.0,36.0,237.5,2032.0,4.2,109.0,22.7,11.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Bills,475.0,334.0,61.45,7.0,3792.5,11.0,15.0,84.75,184.0,33.9,10.0,1.0,36.0,237.5,1922.0,4.0,111.0,23.4,9.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Cowboys,463.0,334.0,61.45,7.0,3792.5,15.0,15.0,84.75,184.0,33.9,12.0,1.0,36.0,237.5,1953.0,4.2,116.0,25.0,12.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Lions,448.0,334.0,61.45,7.0,3792.5,15.0,15.0,84.75,184.0,33.9,7.0,0.0,36.0,237.5,1747.0,3.9,101.0,22.5,8.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Commanders,445.0,334.0,61.45,7.0,3792.5,14.0,15.0,84.75,184.0,33.9,8.0,1.0,36.0,237.5,1748.0,3.9,98.0,22.0,6.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Colts,435.0,334.0,61.45,7.0,3792.5,14.0,15.0,84.75,184.0,33.9,9.0,0.0,36.0,237.5,1859.0,4.3,111.0,25.5,7.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Vikings,428.0,334.0,61.45,7.0,3792.5,14.0,15.0,84.75,184.0,33.9,16.0,4.0,36.0,237.5,2129.0,5.0,107.0,25.0,10.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Patriots,424.0,334.0,61.45,7.0,3792.5,9.0,15.0,84.75,184.0,33.9,4.0,0.0,36.0,237.5,1390.0,3.3,80.0,18.9,12.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Jets,418.0,334.0,61.45,7.0,3792.5,11.0,15.0,84.75,184.0,33.9,8.0,1.0,36.0,237.5,1471.0,3.5,84.0,20.1,7.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Bears,417.0,334.0,61.45,7.0,3792.5,6.0,15.0,84.75,184.0,33.9,10.0,1.0,36.0,237.5,1736.0,4.2,89.0,21.3,12.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
49ers,416.0,334.0,61.45,7.0,3792.5,15.0,15.0,84.75,184.0,33.9,10.0,1.0,36.0,237.5,1801.0,4.3,98.0,23.6,8.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Packers,404.0,334.0,61.45,7.0,3792.5,13.0,15.0,84.75,184.0,33.9,12.0,0.0,36.0,237.5,1643.0,4.1,88.0,21.8,8.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Seahawks,403.0,334.0,61.45,7.0,3792.5,10.0,15.0,84.75,184.0,33.9,8.0,3.0,36.0,237.5,1720.0,4.3,98.0,24.3,18.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Eagles,397.0,334.0,61.45,7.0,3792.5,13.0,15.0,84.75,184.0,33.9,11.0,3.0,36.0,237.5,1882.0,4.7,88.0,22.2,9.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Chiefs,383.0,334.0,61.45,7.0,3792.5,12.0,15.0,84.75,184.0,33.9,8.0,1.0,36.0,237.5,1465.0,3.8,84.0,21.9,7.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Rams,383.0,334.0,61.45,7.0,3792.5,26.0,15.0,84.75,184.0,33.9,8.0,1.0,36.0,237.5,1843.0,4.8,112.0,29.2,3.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
